gameKey,seasonName,date,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S45G01N1,2024-2025,20241019,home,부산 KCC,10,4,27,6,33,4,45,24,29,8,0,0,5,5,2,2,74,32,14,14,14,77,79,6,0,7,40.0,40.0,2400,0,0,6,0,85,수원 KT,16,3,32,20,52,6,57,22,27,8,0,0,5,4,4,4,84,30,16,17,29,72,89,3,2,12,40.0,40.0,2400,0,0,6,0,83
S45G01N2,2024-2025,20241019,home,원주 DB,19,5,21,8,29,5,40,24,23,6,1,1,26,20,3,4,64,31,17,21,25,88,90,8,0,14,40.0,40.0,2400,0,0,16,0,101,서울 삼성,20,1,23,15,38,2,46,23,22,6,3,3,18,13,2,0,71,32,19,25,28,83,89,7,1,16,40.0,40.0,2400,0,0,6,0,90
S45G01N3,2024-2025,20241019,home,창원 LG,18,3,23,13,36,11,41,19,28,5,0,0,27,17,5,4,69,24,19,21,26,70,96,7,0,12,40.0,40.0,2400,0,0,6,0,78,대구 한국가스공사,11,6,28,7,35,6,36,17,25,6,0,0,16,15,3,4,61,23,20,22,31,67,77,6,1,13,40.0,40.0,2400,0,0,5,0,78
S45G01N4,2024-2025,20241020,home,수원 KT,16,3,29,5,34,7,42,22,23,7,0,0,11,7,5,4,65,29,17,17,22,72,76,12,1,16,40.0,40.0,2400,1,0,14,0,87,서울 삼성,20,4,26,14,40,5,46,21,27,3,0,0,17,12,5,2,73,24,18,18,33,63,90,11,1,15,40.0,40.0,2400,0,0,14,0,73
S45G01N5,2024-2025,20241020,home,서울 SK,26,4,29,14,43,3,52,32,23,5,2,2,22,12,19,17,77,39,13,13,25,95,99,11,2,8,40.0,40.0,2400,0,0,17,0,124,안양 정관장,19,3,24,15,39,2,36,15,32,9,4,3,12,8,2,0,72,27,17,16,24,71,84,7,0,18,40.0,40.0,2400,0,1,6,0,74
S45G01N6,2024-2025,20241020,away,울산 현대모비스,15,0,17,10,27,9,46,22,21,6,1,1,24,18,3,0,68,29,15,14,19,82,92,4,0,13,40.0,40.0,2400,1,0,6,0,79,고양 소노,17,1,25,11,36,2,53,33,23,9,0,0,9,7,8,6,76,42,20,25,34,100,85,10,1,6,40.0,40.0,2400,0,0,19,0,123
S45G01N7,2024-2025,20241021,home,창원 LG,23,3,27,8,35,3,33,23,33,12,1,1,7,5,2,4,67,36,16,17,17,89,74,8,0,17,40.0,40.0,2400,0,0,14,0,111,부산 KCC,20,2,22,5,27,1,42,29,26,6,1,1,7,6,9,9,69,36,17,17,19,84,76,13,0,9,40.0,40.0,2400,0,0,18,0,104
S45G01N8,2024-2025,20241022,home,서울 SK,16,5,28,11,39,3,46,19,27,8,2,2,15,11,9,8,75,29,18,18,20,77,90,14,0,12,40.0,40.0,2400,0,0,17,0,92,원주 DB,21,3,32,20,52,2,44,16,33,9,2,2,9,9,4,0,79,27,16,19,19,72,88,10,0,20,40.0,40.0,2400,1,0,6,0,88
S45G01N9,2024-2025,20241023,away,부산 KCC,20,1,16,5,21,4,39,20,19,7,0,0,9,8,0,0,58,27,17,17,17,69,67,4,0,10,40.0,40.0,2400,1,1,5,0,77,고양 소노,17,2,26,17,43,5,46,25,27,6,0,0,13,11,8,6,73,31,17,18,19,79,86,6,1,7,40.0,40.0,2400,0,0,10,0,100
S45G01N10,2024-2025,20241024,away,원주 DB,15,2,27,13,40,2,50,19,21,5,1,1,13,7,4,4,72,25,19,21,31,62,85,5,0,13,40.0,40.0,2400,0,0,6,0,60,대구 한국가스공사,19,5,31,10,41,3,40,21,31,13,1,1,12,9,3,4,72,35,18,20,28,92,84,6,1,9,40.0,40.0,2400,0,0,9,0,116
S45G01N11,2024-2025,20241024,home,창원 LG,20,2,26,15,41,2,38,22,29,9,1,1,13,9,6,3,68,32,17,18,21,82,81,7,1,11,40.0,40.0,2400,0,0,12,0,102,안양 정관장,18,4,22,5,27,4,34,15,29,12,1,1,9,7,1,0,64,28,16,17,19,75,73,6,1,10,40.0,40.0,2400,0,0,3,0,85
S45G01N12,2024-2025,20241025,away,부산 KCC,18,0,18,6,24,4,47,19,18,9,0,0,14,11,6,4,65,28,17,18,17,76,79,9,2,11,40.0,40.0,2400,1,0,8,0,78,울산 현대모비스,26,3,30,9,39,0,48,30,20,9,1,1,10,7,6,4,69,40,17,18,19,96,79,7,0,13,40.0,40.0,2400,0,0,12,0,126
S45G01N13,2024-2025,20241025,home,수원 KT,21,1,36,15,51,4,51,20,22,9,0,0,14,10,2,1,73,29,18,18,30,77,87,4,0,13,40.0,40.0,2400,0,0,4,0,97,서울 SK,20,4,27,8,35,4,52,26,24,3,1,0,19,14,10,3,77,29,18,18,19,75,96,10,0,4,40.0,40.0,2400,0,0,8,0,91
S45G01N14,2024-2025,20241026,home,대구 한국가스공사,17,3,22,9,31,4,37,16,28,10,3,3,11,8,5,0,68,29,18,18,22,76,79,8,0,10,40.0,40.0,2400,0,0,15,0,87,서울 삼성,14,4,27,11,38,2,45,22,20,7,1,0,5,5,4,4,66,29,19,19,31,70,71,5,0,17,40.0,40.0,2400,0,0,6,0,79
S45G01N15,2024-2025,20241026,home,고양 소노,15,3,26,14,40,6,47,26,27,7,1,1,9,7,4,4,75,34,17,17,18,82,84,5,1,8,40.0,40.0,2400,0,0,4,0,99,창원 LG,25,2,24,5,29,2,34,18,23,10,0,0,17,11,3,0,57,28,16,15,23,77,74,4,1,8,40.0,40.0,2400,1,0,8,0,95
S45G01N16,2024-2025,20241026,home,안양 정관장,15,7,33,11,44,5,48,22,25,5,2,2,9,5,5,4,75,29,15,14,16,68,84,8,1,12,40.0,40.0,2400,1,0,8,0,84,원주 DB,15,7,26,7,33,4,39,19,26,5,1,1,9,5,7,2,66,25,16,16,19,60,75,7,2,11,40.0,40.0,2400,1,0,9,0,68
S45G01N17,2024-2025,20241027,away,서울 삼성,19,3,32,9,41,4,35,20,27,7,1,1,11,10,5,5,63,28,20,23,24,73,74,7,2,20,40.0,40.0,2400,1,0,10,0,89,서울 SK,15,2,24,6,30,2,41,20,24,5,1,1,24,19,15,14,66,26,14,13,17,76,90,13,0,10,40.0,40.0,2400,1,0,16,0,83
S45G01N18,2024-2025,20241027,away,수원 KT,22,3,33,17,50,1,57,22,32,12,1,1,14,7,2,2,90,35,18,20,31,89,104,6,0,8,45.0,45.0,2700,1,0,10,0,101,울산 현대모비스,26,4,35,17,52,3,47,22,32,10,1,1,26,15,1,0,80,33,18,19,20,91,106,5,1,12,45.0,45.0,2700,0,0,6,0,110
S45G01N19,2024-2025,20241027,away,원주 DB,18,3,29,7,36,5,40,22,24,8,0,0,3,2,3,4,64,30,13,13,21,70,67,4,1,17,40.0,40.0,2400,0,0,8,0,83,부산 KCC,22,4,23,5,28,3,41,21,31,11,1,1,0,0,6,2,73,33,12,12,17,77,73,9,1,6,40.0,40.0,2400,0,0,13,0,96
S45G01N20,2024-2025,20241028,home,고양 소노,17,2,24,6,30,2,35,21,31,11,0,0,14,8,5,6,66,32,17,19,24,83,80,9,0,6,40.0,40.0,2400,0,0,13,0,97,안양 정관장,21,7,28,9,37,1,35,19,21,6,1,1,16,12,3,0,57,26,18,17,21,70,73,2,0,14,40.0,40.0,2400,1,0,6,0,89
S45G01N21,2024-2025,20241029,away,서울 삼성,21,3,31,10,41,3,41,21,22,6,2,2,14,9,3,0,65,29,18,20,27,73,79,1,0,13,40.0,40.0,2400,0,0,4,0,88,부산 KCC,16,3,25,4,29,3,50,28,18,5,1,1,10,4,5,2,69,34,15,17,21,77,79,7,1,3,40.0,40.0,2400,0,0,17,0,90
S45G01N22,2024-2025,20241030,away,안양 정관장,11,1,16,6,22,5,29,11,22,8,2,2,17,14,5,2,53,21,14,18,21,64,70,9,1,17,40.0,40.0,2400,1,0,8,0,59,대구 한국가스공사,23,2,26,8,34,3,31,18,33,15,2,2,14,12,3,2,66,35,19,21,20,97,80,12,0,12,40.0,40.0,2400,0,0,19,0,126
