gameKey,seasonName,date,winner,quarter,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,H_TPS,H_TOPS,H_TPos,H_OR,H_DR,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF,A_TPS,A_TOPS,A_TPos,A_OR,A_DR,A_TEAM
S39G01N1,2021-2022,20211009,home,Q1,5,0,4,3,7,0,12,4,8,4,0,0,2,1,1,0,20,8,4,8,3,21,22,2,0,0,10.0,10.0,600,0,0,5,0,22,0,0,0,0,0,안양 KGC,6,0,9,2,11,0,7,5,7,4,0,0,2,1,1,2,14,9,2,4,3,23,16,0,0,4,10.0,10.0,600,0,0,0,0,30,0,0,0,0,0,전주 KCC
S39G01N1,2021-2022,20211009,home,Q2,8,1,13,7,20,1,23,10,16,8,1,1,4,3,2,0,40,19,9,18,9,49,44,3,0,1,20.0,20.0,1200,0,0,7,0,59,0,0,0,0,0,안양 KGC,8,1,12,5,17,1,14,8,17,7,0,0,5,3,1,2,31,15,5,10,9,40,36,0,1,7,20.0,20.0,1200,0,0,0,0,41,0,0,0,0,0,전주 KCC
S39G01N1,2021-2022,20211009,home,Q3,10,4,23,10,33,1,32,15,25,11,1,1,4,3,2,0,58,27,13,26,16,68,62,3,0,5,30.0,30.0,1800,0,0,9,0,82,0,0,0,0,0,안양 KGC,12,1,19,9,28,1,28,15,24,7,0,0,6,4,3,4,52,22,9,18,15,55,58,1,1,8,30.0,30.0,1800,0,0,6,0,57,0,0,0,0,0,전주 KCC
S39G01N1,2021-2022,20211009,home,Q4,13,4,26,12,38,1,40,19,33,14,1,1,4,3,2,0,74,34,16,32,21,85,78,6,0,6,40.0,40.0,2400,0,0,11,0,100,0,0,0,0,0,안양 KGC,16,1,25,17,42,2,37,19,33,10,0,0,12,8,5,6,70,29,12,24,18,76,82,2,1,11,40.0,40.0,2400,0,0,8,0,82,0,0,0,0,0,전주 KCC
S39G01N2,2021-2022,20211009,away,Q1,5,1,6,2,8,0,13,6,4,1,1,1,6,5,0,0,18,8,2,4,5,22,24,0,0,1,10.0,10.0,600,0,0,0,0,24,0,0,0,0,0,고양 오리온,6,1,7,4,11,2,16,10,6,1,0,0,0,0,2,0,22,11,5,11,5,23,22,0,0,1,10.0,10.0,600,0,0,0,0,31,0,0,0,0,0,서울 SK
S39G01N2,2021-2022,20211009,away,Q2,10,2,10,3,13,0,26,13,7,3,1,1,9,7,0,0,34,17,6,12,10,44,43,4,0,3,20.0,20.0,1200,0,0,2,0,51,0,0,0,0,0,고양 오리온,12,1,13,5,18,3,28,19,9,3,0,0,3,2,3,0,37,22,9,19,16,49,40,0,0,5,20.0,20.0,1200,0,0,0,0,62,0,0,0,0,0,서울 SK
S39G01N2,2021-2022,20211009,away,Q3,16,3,14,6,20,2,38,20,13,4,2,2,11,8,1,0,53,26,11,24,20,64,64,4,0,6,30.0,30.0,1800,0,0,2,0,73,0,0,0,0,0,고양 오리온,16,1,20,11,31,3,43,25,15,7,0,0,9,8,5,2,58,32,13,27,26,79,67,3,0,5,30.0,30.0,1800,0,0,5,0,101,0,0,0,0,0,서울 SK
S39G01N2,2021-2022,20211009,away,Q4,23,5,19,8,27,2,49,25,17,6,2,2,19,15,3,0,68,33,13,28,24,87,87,6,0,9,40.0,40.0,2400,0,0,4,0,102,0,0,0,0,0,고양 오리온,23,1,26,15,41,3,59,34,18,8,1,1,13,11,8,2,78,43,18,38,33,105,91,6,0,7,40.0,40.0,2400,0,0,7,0,135,0,0,0,0,0,서울 SK
S39G01N3,2021-2022,20211009,away,Q1,4,1,6,6,12,2,15,6,5,1,0,0,6,3,1,2,20,7,5,11,4,18,26,1,0,3,10.0,10.0,600,0,0,0,0,19,0,0,0,0,0,울산 현대모비스,4,1,4,0,4,2,11,7,3,1,0,0,6,4,1,0,14,8,5,11,4,21,20,3,0,1,10.0,10.0,600,0,0,4,0,26,0,0,0,0,0,대구 한국가스공사
S39G01N3,2021-2022,20211009,away,Q2,6,5,14,6,20,4,25,12,9,2,1,1,9,6,1,2,35,15,10,22,15,38,44,1,1,8,20.0,20.0,1200,0,0,0,0,42,0,0,0,0,0,울산 현대모비스,9,1,8,3,11,4,20,10,13,5,0,0,13,10,2,0,33,15,10,22,20,45,46,5,0,3,20.0,20.0,1200,0,0,8,0,51,0,0,0,0,0,대구 한국가스공사
S39G01N3,2021-2022,20211009,away,Q3,13,6,18,7,25,4,35,18,15,5,1,1,12,9,2,2,51,24,15,33,23,62,63,3,1,11,30.0,30.0,1800,0,0,4,0,71,0,0,0,0,0,울산 현대모비스,12,2,14,5,19,6,34,20,16,5,0,0,19,15,5,2,50,25,14,31,30,70,69,7,1,6,30.0,30.0,1800,0,0,12,0,80,0,0,0,0,0,대구 한국가스공사
S39G01N3,2021-2022,20211009,away,Q4,18,7,23,8,31,6,46,24,21,8,1,1,14,9,2,2,68,33,19,41,26,83,82,3,1,13,40.0,40.0,2400,0,0,4,0,94,0,0,0,0,0,울산 현대모비스,20,3,21,5,26,6,45,27,20,7,2,2,19,15,6,2,67,36,19,41,42,94,86,8,1,6,40.0,40.0,2400,0,0,12,0,115,0,0,0,0,0,대구 한국가스공사
