gameKey,seasonName,date,winner,quarter,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_EJ,H_TO,H_NR,H_TS%,H_eFG%,H_EFF,H_TOV%,H_OREB%,H_FT%,H_AST%,H_AST/TO%,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_EJ,A_TO,A_NR,A_TS%,A_eFG%,A_EFF,A_TOV%,A_OREB%,A_FT%,A_AST%,A_AST/TO%,A_TEAM
S41G01N1,2022-2023,20221015,away,Q1,2,0,10,3,13,0,10,3,7,1,0,0,8,3,0,0,17,4,4,8,4,12,25,2,0,3,600,0,0,0,3,-37.85958151641145,21.03786816269285,26.470588235294116,8,12.755102040816327,23.076923076923077,47.05882352941177,50.0,0.6666666666666666,서울 SK,6,0,10,2,12,2,13,7,6,1,0,0,4,3,2,2,19,8,5,10,1,20,23,2,0,2,600,0,0,0,2,37.85958151641145,40.38772213247172,44.73684210526316,28,8.787346221441124,16.666666666666668,21.05263157894737,75.0,3.0,안양 KGC
S41G01N1,2022-2023,20221015,away,Q2,9,1,15,4,19,1,21,9,12,5,0,0,11,5,0,0,33,14,9,18,10,38,44,6,0,7,1200,0,0,0,7,-5.9877831244351825,63.976377952755904,75.0,42,18.76172607879925,16.666666666666668,18.75,70.0,1.75,서울 SK,10,1,15,4,19,2,24,12,10,3,0,0,10,8,4,4,34,15,9,18,6,41,44,5,0,7,1200,0,0,0,7,5.9877831244351825,44.41624365482233,53.333333333333336,50,22.084805653710248,11.764705882352942,40.0,57.142857142857146,0.8,안양 KGC
S41G01N1,2022-2023,20221015,away,Q3,11,1,19,6,25,1,32,16,19,6,1,1,14,7,1,0,52,23,13,26,16,59,66,7,1,9,1800,0,0,0,10,-19.65647123973018,45.02572898799314,50.0,58,12.864493996569468,18.181818181818183,15.789473684210526,22.22222222222222,0.6666666666666666,서울 SK,20,1,24,4,28,2,31,18,18,8,0,0,12,10,5,4,49,26,14,28,12,70,61,6,0,10,1800,0,0,0,10,19.65647123973018,81.09619686800896,90.0,92,15.889830508474574,0.0,13.333333333333334,90.9090909090909,3.3333333333333335,안양 KGC
S41G01N1,2022-2023,20221015,away,Q4,14,1,27,7,34,1,42,20,24,8,1,1,16,9,2,2,67,29,18,38,20,75,83,11,2,13,2400,0,0,0,15,-16.57254079727055,44.742729306487696,46.666666666666664,76,23.946360153256702,11.11111111111111,13.333333333333334,50.0,0.6,서울 SK,24,1,32,8,40,2,41,22,24,10,0,0,20,14,6,6,65,32,17,34,19,88,85,7,0,14,2400,0,0,0,14,16.57254079727055,32.70348837209303,43.75,109,17.006802721088437,12.903225806451612,50.0,66.66666666666667,1.0,안양 KGC
S41G01N2,2022-2023,20221015,away,Q1,3,1,8,8,16,2,18,9,6,1,1,1,2,1,2,2,25,11,4,8,4,24,27,0,0,1,600,0,0,0,1,-8.298022598870062,43.04160688665711,46.0,30,3.7202380952380953,61.53846153846154,8.0,27.272727272727273,3.0,수원 KT,3,1,5,1,6,0,10,9,8,2,0,0,5,2,1,0,18,11,4,8,3,26,23,0,0,0,600,0,0,0,0,8.298022598870062,51.58730158730159,66.66666666666667,26,0.0,11.11111111111111,27.77777777777778,27.272727272727273,0.0,울산 현대모비스
S41G01N2,2022-2023,20221015,away,Q2,7,1,15,11,26,3,28,10,12,2,2,2,13,8,3,2,42,14,8,16,13,38,55,1,0,4,1200,0,0,0,4,-30.667618494627064,21.315468940316684,20.58823529411765,39,12.077294685990339,23.076923076923077,64.70588235294117,133.33333333333334,1.3333333333333333,수원 KT,7,2,15,4,19,1,24,14,11,4,2,2,8,5,3,0,37,20,9,21,9,49,45,3,0,3,1200,0,0,0,3,30.667618494627064,49.313893653516296,52.63157894736842,58,12.864493996569468,16.666666666666668,15.789473684210526,44.44444444444444,1.3333333333333333,울산 현대모비스
S41G01N2,2022-2023,20221015,away,Q3,10,1,21,14,35,4,38,15,19,4,2,2,14,9,4,4,59,21,12,24,22,55,73,2,0,9,1800,0,0,0,9,-29.4015768422326,46.095444685466376,47.05882352941177,55,22.281639928698752,33.333333333333336,5.882352941176471,42.857142857142854,0.6,수원 KT,11,3,21,10,31,1,35,19,18,5,3,3,12,9,4,0,56,27,13,29,16,68,68,5,0,5,1800,0,0,0,5,29.4015768422326,38.36833602584814,39.473684210526315,82,8.787346221441124,22.22222222222222,21.05263157894737,57.142857142857146,2.0,울산 현대모비스
S41G01N2,2022-2023,20221015,away,Q4,12,2,25,14,39,4,51,23,22,5,2,2,16,11,7,8,75,30,17,34,25,76,91,5,0,10,2400,0,0,0,10,-15.70611433009205,55.61440677966102,59.375,78,5.592841163310962,0.0,12.5,22.22222222222222,2.0,수원 KT,16,3,28,13,41,2,41,22,26,8,3,3,14,11,5,0,70,33,17,37,20,85,84,6,1,12,2400,0,0,0,13,15.70611433009205,50.355450236966824,53.57142857142857,100,34.96503496503496,10.714285714285714,14.285714285714286,83.33333333333333,0.625,울산 현대모비스
S41G01N3,2022-2023,20221015,home,Q1,3,3,9,7,16,1,18,9,5,2,0,0,6,5,2,2,23,11,4,8,6,29,29,3,0,0,600,0,0,0,0,87.15834651005194,45.828065739570164,52.17391304347826,42,0.0,53.84615384615385,26.08695652173913,27.272727272727273,0.0,고양 캐롯,3,1,6,3,9,0,12,2,7,3,0,0,0,0,1,0,19,5,5,12,4,13,19,0,0,3,600,0,0,0,3,-87.15834651005194,34.21052631578947,34.21052631578947,9,13.636363636363637,25.0,0.0,60.0,1.0,원주 DB
S41G01N3,2022-2023,20221015,home,Q2,6,3,18,10,28,2,29,17,14,5,0,0,8,7,3,4,43,22,9,19,12,56,51,4,0,2,1200,1,0,0,2,64.81261763369676,59.00349650349651,62.5,75,8.741258741258742,33.333333333333336,10.0,27.272727272727273,1.5,고양 캐롯,9,1,12,3,15,0,18,5,14,4,2,2,9,7,3,0,34,11,9,20,10,33,43,1,0,6,1200,0,0,0,6,-64.81261763369676,35.7653791130186,43.333333333333336,28,13.66120218579235,0.0,60.0,100.0,2.0,원주 DB
