gameKey,seasonName,date,winner,quarter,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,H_TPS,H_TOPS,H_TPos,H_OR,H_DR,H_TS%,H_eFG%,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF,A_TPS,A_TOPS,A_TPos,A_OR,A_DR,A_TS%,A_eFG%,A_TEAM
S45G01N1,2024-2025,20241019,home,Q1,1,1,9,0,9,0,13,5,5,0,0,0,2,2,1,0,18,5,4,8,3,12,20,4,0,2,10.0,10.0,600,0,0,2,0,12,0,0,0,0,0,0,0,부산 KCC,4,2,13,4,17,1,15,3,4,2,0,0,0,0,2,0,19,5,5,11,8,12,19,0,1,7,10.0,10.0,600,0,0,0,0,14,0,0,0,0,0,0,0,수원 KT
S45G01N1,2024-2025,20241019,home,Q2,5,1,16,3,19,0,28,16,11,3,0,0,2,2,2,2,39,19,8,18,8,43,41,5,0,3,20.0,20.0,1200,0,0,6,0,50,0,0,0,0,0,0,0,부산 KCC,8,2,17,9,26,2,27,9,12,3,0,0,4,3,3,2,39,12,7,15,16,30,43,0,1,10,20.0,20.0,1200,0,0,0,0,29,0,0,0,0,0,0,0,수원 KT
S45G01N1,2024-2025,20241019,home,Q3,8,3,19,5,24,1,37,21,19,5,0,0,3,3,2,2,56,26,11,24,12,60,59,5,0,5,30.0,30.0,1800,0,0,6,0,66,0,0,0,0,0,0,0,부산 KCC,12,2,24,14,38,4,41,15,19,7,0,0,5,4,3,2,60,22,11,23,21,55,65,1,2,13,30.0,30.0,1800,0,0,3,0,58,0,0,0,0,0,0,0,수원 KT
S45G01N1,2024-2025,20241019,home,Q4,10,4,27,6,33,4,45,24,29,8,0,0,5,5,2,2,74,32,14,30,14,77,79,6,0,7,40.0,40.0,2400,0,0,6,0,85,0,0,0,0,0,0,0,부산 KCC,16,3,32,20,52,6,57,22,27,8,0,0,5,4,4,4,84,30,16,33,29,72,89,3,2,14,40.0,40.0,2400,0,0,6,0,81,0,0,0,0,0,0,0,수원 KT
S45G01N2,2024-2025,20241019,home,Q1,6,0,4,2,6,4,10,6,7,2,1,1,8,6,1,2,18,9,5,11,5,26,26,3,0,3,10.0,10.0,600,0,0,9,0,31,0,0,0,0,0,0,0,원주 DB,6,0,6,3,9,1,11,6,4,0,0,0,8,6,0,0,15,6,5,12,5,18,23,2,0,6,10.0,10.0,600,0,0,0,0,19,0,0,0,0,0,0,0,서울 삼성
S45G01N2,2024-2025,20241019,home,Q2,10,3,11,4,15,4,22,14,13,3,1,1,10,8,3,4,36,18,8,17,12,47,46,6,0,7,20.0,20.0,1200,0,0,11,0,58,0,0,0,0,0,0,0,원주 DB,14,0,12,7,19,1,24,10,8,3,2,2,10,7,2,0,34,15,9,20,12,40,44,5,0,10,20.0,20.0,1200,0,0,2,0,47,0,0,0,0,0,0,0,서울 삼성
S45G01N2,2024-2025,20241019,home,Q3,15,4,18,5,23,4,34,21,17,4,1,1,16,12,3,4,52,26,12,25,17,68,68,8,0,9,30.0,30.0,1800,0,0,14,0,83,0,0,0,0,0,0,0,원주 DB,16,0,20,11,31,1,35,16,16,4,3,3,10,7,2,0,54,23,14,31,19,57,64,6,1,15,30.0,30.0,1800,0,0,4,0,61,0,0,0,0,0,0,0,서울 삼성
S45G01N2,2024-2025,20241019,home,Q4,19,5,21,8,29,5,40,24,23,6,1,1,26,20,3,4,64,31,17,38,25,88,90,8,0,14,40.0,40.0,2400,0,0,16,0,101,0,0,0,0,0,0,0,원주 DB,20,1,23,15,38,2,46,23,22,6,3,3,18,13,2,0,71,32,19,45,28,83,89,7,1,17,40.0,40.0,2400,0,0,6,0,89,0,0,0,0,0,0,0,서울 삼성
S45G01N3,2024-2025,20241019,home,Q1,4,0,5,4,9,2,11,3,4,1,0,0,5,4,1,0,15,4,5,10,3,13,20,2,0,6,10.0,10.0,600,0,0,0,0,12,0,0,0,0,0,0,0,창원 LG,3,3,6,2,8,1,15,8,2,0,0,0,2,2,2,4,17,8,5,10,3,18,19,4,0,3,10.0,10.0,600,0,0,2,0,25,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N3,2024-2025,20241019,home,Q2,9,1,13,6,19,7,20,8,12,3,0,0,15,11,1,0,32,11,9,18,12,36,47,2,0,7,20.0,20.0,1200,0,0,0,0,42,0,0,0,0,0,0,0,창원 LG,5,4,12,5,17,2,25,12,12,2,0,0,4,4,2,4,37,14,10,22,16,34,41,4,0,3,20.0,20.0,1200,0,0,2,0,40,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N3,2024-2025,20241019,home,Q3,12,1,16,8,24,11,29,12,22,4,0,0,20,14,1,0,51,16,14,28,19,50,71,2,0,8,30.0,30.0,1800,0,0,0,0,51,0,0,0,0,0,0,0,창원 LG,10,5,21,6,27,5,32,17,19,5,0,0,8,8,3,4,51,22,15,32,19,57,59,5,1,7,30.0,30.0,1800,0,0,2,0,72,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N3,2024-2025,20241019,home,Q4,18,3,23,13,36,11,41,19,28,5,0,0,27,17,5,4,69,24,19,40,26,70,96,7,0,12,40.0,40.0,2400,0,0,6,0,78,0,0,0,0,0,0,0,창원 LG,11,6,28,7,35,6,36,17,25,6,0,0,16,15,3,4,61,23,20,42,31,67,77,6,1,14,40.0,40.0,2400,0,0,5,0,77,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N4,2024-2025,20241020,home,Q1,4,0,10,2,12,1,9,5,8,2,0,0,2,1,1,0,17,7,5,10,4,17,19,3,0,5,10.0,10.0,600,0,0,3,0,21,0,0,0,0,0,0,0,수원 KT,3,1,6,5,11,0,13,4,5,0,0,0,6,3,0,0,18,4,5,10,6,11,24,4,0,4,10.0,10.0,600,0,0,4,0,9,0,0,0,0,0,0,0,서울 삼성
S45G01N4,2024-2025,20241020,home,Q2,7,0,16,4,20,3,21,11,15,4,0,0,6,3,4,4,36,15,8,16,9,37,42,7,1,8,20.0,20.0,1200,0,0,7,0,41,0,0,0,0,0,0,0,수원 KT,9,2,12,9,21,3,25,9,13,2,0,0,6,3,0,0,38,11,10,20,18,27,44,5,0,9,20.0,20.0,1200,0,0,6,0,28,0,0,0,0,0,0,0,서울 삼성
S45G01N4,2024-2025,20241020,home,Q3,11,0,22,5,27,6,31,17,20,5,0,0,8,4,5,4,51,22,13,27,15,53,59,11,1,13,30.0,30.0,1800,0,0,12,0,61,0,0,0,0,0,0,0,수원 KT,16,2,19,10,29,3,33,15,19,2,0,0,11,7,2,0,52,17,14,28,26,43,63,8,0,14,30.0,30.0,1800,0,0,10,0,48,0,0,0,0,0,0,0,서울 삼성
S45G01N4,2024-2025,20241020,home,Q4,16,3,29,5,34,7,42,22,23,7,0,0,11,7,5,4,65,29,17,35,22,72,76,12,1,17,40.0,40.0,2400,1,0,14,0,86,0,0,0,0,0,0,0,수원 KT,20,4,26,14,40,5,46,21,27,3,0,0,17,12,5,2,73,24,18,36,33,63,90,11,1,16,40.0,40.0,2400,0,0,14,0,72,0,0,0,0,0,0,0,서울 삼성
S45G01N5,2024-2025,20241020,home,Q1,5,0,4,3,7,1,13,8,7,1,0,0,2,2,3,4,20,9,0,0,2,21,22,2,1,1,10.0,10.0,600,0,0,2,0,23,0,0,0,0,0,0,0,서울 SK,7,0,6,3,9,0,7,3,10,6,2,2,0,0,2,0,19,11,3,6,0,28,19,0,0,2,10.0,10.0,600,0,0,2,0,34,0,0,0,0,0,0,0,안양 정관장
S45G01N5,2024-2025,20241020,home,Q2,11,2,15,10,25,1,30,18,13,2,0,0,9,5,10,12,43,20,3,6,9,47,52,6,2,6,20.0,20.0,1200,0,0,8,0,57,0,0,0,0,0,0,0,서울 SK,12,3,12,8,20,0,16,8,20,7,3,2,4,1,2,0,39,17,8,16,8,42,43,4,0,7,20.0,20.0,1200,0,0,4,0,49,0,0,0,0,0,0,0,안양 정관장
S45G01N5,2024-2025,20241020,home,Q3,17,2,21,11,32,2,38,21,18,4,2,2,16,9,13,13,58,27,8,16,15,67,74,9,2,8,30.0,30.0,1800,0,0,15,0,81,0,0,0,0,0,0,0,서울 SK,18,3,18,11,29,2,25,11,27,9,3,2,8,5,2,0,55,22,13,26,14,58,63,6,0,13,30.0,30.0,1800,0,1,4,0,67,0,0,0,0,0,0,0,안양 정관장
S45G01N5,2024-2025,20241020,home,Q4,26,4,29,14,43,3,52,32,23,5,2,2,22,12,19,17,77,39,13,26,25,95,99,11,2,10,40.0,40.0,2400,0,0,17,0,122,0,0,0,0,0,0,0,서울 SK,19,3,24,15,39,2,36,15,32,9,4,3,12,8,2,0,72,27,17,34,24,71,84,7,0,18,40.0,40.0,2400,0,1,6,0,74,0,0,0,0,0,0,0,안양 정관장
S45G01N6,2024-2025,20241020,away,Q1,4,0,7,2,9,1,16,7,2,2,0,0,7,5,1,0,18,9,3,6,2,25,25,1,0,3,10.0,10.0,600,0,0,0,0,26,0,0,0,0,0,0,0,울산 현대모비스,5,1,6,4,10,0,17,9,5,2,0,0,2,2,3,0,22,11,5,12,4,26,24,2,0,1,10.0,10.0,600,0,0,7,0,32,0,0,0,0,0,0,0,고양 소노
S45G01N6,2024-2025,20241020,away,Q2,9,0,10,7,17,2,28,13,8,2,0,0,16,12,2,0,36,15,7,14,7,44,52,1,0,6,20.0,20.0,1200,0,0,0,0,42,0,0,0,0,0,0,0,울산 현대모비스,13,1,14,5,19,0,30,19,11,6,0,0,5,5,6,2,41,25,10,24,12,61,46,4,0,1,20.0,20.0,1200,0,0,11,0,81,0,0,0,0,0,0,0,고양 소노
S45G01N6,2024-2025,20241020,away,Q3,13,0,13,8,21,8,39,17,15,5,0,0,20,15,2,0,54,22,11,22,12,64,74,2,0,9,30.0,30.0,1800,0,0,2,0,62,0,0,0,0,0,0,0,울산 현대모비스,15,1,21,10,31,1,43,25,17,8,0,0,5,5,6,2,60,33,15,34,25,79,65,6,0,4,30.0,30.0,1800,0,0,14,0,102,0,0,0,0,0,0,0,고양 소노
S45G01N6,2024-2025,20241020,away,Q4,15,0,17,10,27,9,46,22,21,6,1,1,24,18,3,0,68,29,15,30,19,82,92,4,0,13,40.0,40.0,2400,1,0,6,0,79,0,0,0,0,0,0,0,울산 현대모비스,17,1,25,11,36,2,53,33,23,9,0,0,9,7,8,6,76,42,20,45,34,100,85,10,1,7,40.0,40.0,2400,0,0,19,0,122,0,0,0,0,0,0,0,고양 소노
S45G01N7,2024-2025,20241021,home,Q1,4,0,7,2,9,0,7,6,9,4,1,1,1,1,1,2,17,11,3,6,4,27,18,2,0,6,10.0,10.0,600,0,0,4,0,30,0,0,0,0,0,0,0,창원 LG,6,0,4,3,7,0,13,10,8,1,0,0,0,0,4,2,21,11,4,8,3,23,21,5,0,2,10.0,10.0,600,0,0,7,0,29,0,0,0,0,0,0,0,부산 KCC
S45G01N7,2024-2025,20241021,home,Q2,10,0,13,5,18,1,16,12,18,7,1,1,1,1,1,2,35,20,8,17,9,48,36,4,0,11,20.0,20.0,1200,0,0,6,0,55,0,0,0,0,0,0,0,창원 LG,12,1,10,4,14,0,21,14,15,4,1,1,4,4,6,4,37,19,8,16,9,46,41,8,0,5,20.0,20.0,1200,0,0,11,0,58,0,0,0,0,0,0,0,부산 KCC
S45G01N7,2024-2025,20241021,home,Q3,16,1,19,5,24,1,21,13,28,11,1,1,3,2,1,2,50,25,12,25,14,63,53,4,0,13,30.0,30.0,1800,0,0,6,0,70,0,0,0,0,0,0,0,창원 LG,19,1,19,5,24,1,35,25,18,4,1,1,7,6,7,4,54,30,12,24,12,70,61,10,0,5,30.0,30.0,1800,0,0,11,0,95,0,0,0,0,0,0,0,부산 KCC
S45G01N7,2024-2025,20241021,home,Q4,23,3,27,8,35,3,33,23,33,12,1,1,7,5,2,4,67,36,16,33,17,89,74,8,0,17,40.0,40.0,2400,0,0,14,0,111,0,0,0,0,0,0,0,창원 LG,20,2,22,5,27,1,42,29,26,6,1,1,7,6,9,9,69,36,17,34,19,84,76,13,0,9,40.0,40.0,2400,0,0,18,0,104,0,0,0,0,0,0,0,부산 KCC
S45G01N8,2024-2025,20241022,home,Q1,4,1,9,3,12,1,11,5,8,1,1,1,2,2,3,0,20,7,5,10,4,17,22,2,0,3,10.0,10.0,600,0,0,0,0,21,0,0,0,0,0,0,0,서울 SK,8,1,8,4,12,1,14,4,5,1,2,2,3,3,2,0,21,7,3,6,3,18,24,2,0,3,10.0,10.0,600,0,0,2,0,25,0,0,0,0,0,0,0,원주 DB
S45G01N8,2024-2025,20241022,home,Q2,8,1,15,7,22,2,29,12,12,1,1,1,6,5,6,4,42,14,9,18,12,34,48,6,0,5,20.0,20.0,1200,0,0,4,0,39,0,0,0,0,0,0,0,서울 SK,14,2,18,13,31,1,22,8,20,5,2,2,7,7,3,0,44,15,7,14,10,42,51,4,0,8,20.0,20.0,1200,0,0,4,0,57,0,0,0,0,0,0,0,원주 DB
S45G01N8,2024-2025,20241022,home,Q3,13,3,20,7,27,3,38,16,20,4,2,2,7,6,8,6,60,22,14,28,19,54,67,11,0,8,30.0,30.0,1800,0,0,15,0,64,0,0,0,0,0,0,0,서울 SK,18,3,28,17,45,2,32,12,28,7,2,2,9,9,4,0,62,21,11,22,14,58,71,7,0,15,30.0,30.0,1800,0,0,6,0,77,0,0,0,0,0,0,0,원주 DB
S45G01N8,2024-2025,20241022,home,Q4,16,5,28,11,39,3,46,19,27,8,2,2,15,11,9,8,75,29,18,36,20,77,90,14,0,12,40.0,40.0,2400,0,0,17,0,92,0,0,0,0,0,0,0,서울 SK,21,3,32,20,52,2,44,16,33,9,2,2,9,9,4,0,79,27,16,36,19,72,88,10,0,20,40.0,40.0,2400,1,0,6,0,88,0,0,0,0,0,0,0,원주 DB
S45G01N9,2024-2025,20241023,away,Q1,8,1,3,1,4,0,9,6,7,4,0,0,0,0,0,0,16,10,4,8,3,24,16,2,0,1,10.0,10.0,600,0,0,0,0,32,0,0,0,0,0,0,0,부산 KCC,4,0,5,2,7,1,11,8,4,1,0,0,2,2,0,0,15,9,4,8,2,21,17,0,0,2,10.0,10.0,600,0,0,0,0,25,0,0,0,0,0,0,0,고양 소노
S45G01N9,2024-2025,20241023,away,Q2,12,1,9,1,10,1,17,12,11,5,0,0,4,3,0,0,28,17,8,16,6,42,32,2,0,6,20.0,20.0,1200,1,0,0,0,50,0,0,0,0,0,0,0,부산 KCC,12,1,11,7,18,1,26,15,11,3,0,0,6,6,5,2,37,18,9,19,9,45,43,5,0,4,20.0,20.0,1200,0,0,8,0,59,0,0,0,0,0,0,0,고양 소노
S45G01N9,2024-2025,20241023,away,Q3,15,1,12,2,14,4,28,15,15,6,0,0,7,6,0,0,43,21,12,24,10,54,50,3,0,7,30.0,30.0,1800,1,0,3,0,61,0,0,0,0,0,0,0,부산 KCC,15,2,20,11,31,4,35,20,20,4,0,0,8,7,6,4,55,24,13,27,11,59,63,5,1,6,30.0,30.0,1800,0,0,8,0,77,0,0,0,0,0,0,0,고양 소노
S45G01N9,2024-2025,20241023,away,Q4,20,1,16,5,21,4,39,20,19,7,0,0,9,8,0,0,58,27,17,36,17,69,67,4,0,10,40.0,40.0,2400,1,1,5,0,77,0,0,0,0,0,0,0,부산 KCC,17,2,26,17,43,5,46,25,27,6,0,0,13,11,8,6,73,31,17,35,19,79,86,6,1,8,40.0,40.0,2400,0,0,10,0,99,0,0,0,0,0,0,0,고양 소노
S45G01N10,2024-2025,20241024,away,Q1,3,0,4,4,8,0,11,3,5,1,0,0,6,2,1,0,16,4,5,11,7,11,22,3,0,4,10.0,10.0,600,0,0,2,0,5,0,0,0,0,0,0,0,원주 DB,6,3,9,4,13,0,8,3,9,5,0,0,4,4,0,0,17,8,5,11,5,25,21,2,0,4,10.0,10.0,600,0,0,0,0,36,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N10,2024-2025,20241024,away,Q2,6,2,14,10,24,0,27,9,9,2,0,0,11,5,2,0,36,11,10,22,16,29,47,3,0,6,20.0,20.0,1200,0,0,2,0,27,0,0,0,0,0,0,0,원주 DB,8,4,17,4,21,1,18,8,16,6,0,0,8,7,0,0,34,14,10,22,11,41,42,2,0,4,20.0,20.0,1200,0,0,0,0,52,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N10,2024-2025,20241024,away,Q3,11,2,22,11,33,1,40,14,14,4,0,0,13,7,4,4,54,18,14,30,23,47,67,3,0,9,30.0,30.0,1800,0,0,2,0,46,0,0,0,0,0,0,0,원주 DB,14,4,23,5,28,3,31,16,24,10,0,0,9,8,1,0,55,26,15,32,20,70,64,4,1,5,30.0,30.0,1800,0,0,2,0,87,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N10,2024-2025,20241024,away,Q4,15,2,27,13,40,2,50,19,21,5,1,1,13,7,4,4,72,25,19,40,31,62,85,5,0,13,40.0,40.0,2400,0,0,6,0,60,0,0,0,0,0,0,0,원주 DB,19,5,31,10,41,3,40,21,31,13,1,1,12,9,3,4,72,35,18,38,28,92,84,6,1,10,40.0,40.0,2400,0,0,9,0,115,0,0,0,0,0,0,0,대구 한국가스공사
S45G01N11,2024-2025,20241024,home,Q1,7,1,4,2,6,0,7,5,7,2,0,0,4,3,2,0,14,7,5,11,2,19,18,2,1,4,10.0,10.0,600,0,0,2,0,22,0,0,0,0,0,0,0,창원 LG,6,0,6,2,8,1,9,6,8,3,0,0,6,5,1,0,17,9,5,10,1,26,23,2,0,2,10.0,10.0,600,0,0,0,0,32,0,0,0,0,0,0,0,안양 정관장
S45G01N11,2024-2025,20241024,home,Q2,12,1,12,7,19,0,18,14,14,4,0,0,8,5,4,0,32,18,9,19,10,45,40,4,1,7,20.0,20.0,1200,0,0,5,0,56,0,0,0,0,0,0,0,창원 LG,10,2,10,4,14,1,19,11,16,5,0,0,7,6,1,0,35,16,10,20,7,43,42,3,0,4,20.0,20.0,1200,0,0,0,0,49,0,0,0,0,0,0,0,안양 정관장
S45G01N11,2024-2025,20241024,home,Q3,15,1,19,8,27,0,23,16,22,6,0,0,13,9,5,1,45,22,14,29,17,59,58,5,1,10,30.0,30.0,1800,0,0,8,0,69,0,0,0,0,0,0,0,창원 LG,13,2,17,5,22,3,28,14,21,8,0,0,9,7,1,0,49,22,15,31,14,59,58,5,1,8,30.0,30.0,1800,0,0,0,0,66,0,0,0,0,0,0,0,안양 정관장
S45G01N11,2024-2025,20241024,home,Q4,20,2,26,15,41,2,38,22,29,9,1,1,13,9,6,3,68,32,17,35,21,82,81,7,1,12,40.0,40.0,2400,0,0,12,0,101,0,0,0,0,0,0,0,창원 LG,18,4,22,5,27,4,34,15,29,12,1,1,9,7,1,0,64,28,16,33,19,75,73,6,1,11,40.0,40.0,2400,0,0,3,0,84,0,0,0,0,0,0,0,안양 정관장
S45G01N12,2024-2025,20241025,away,Q1,4,0,6,3,9,0,11,4,7,3,0,0,5,3,0,0,18,7,4,8,4,20,23,1,0,1,10.0,10.0,600,0,0,0,0,20,0,0,0,0,0,0,0,부산 KCC,5,1,8,2,10,0,11,7,8,4,0,0,0,0,3,2,19,11,5,11,4,26,19,1,0,1,10.0,10.0,600,0,0,2,0,34,0,0,0,0,0,0,0,울산 현대모비스
S45G01N12,2024-2025,20241025,away,Q2,8,0,10,3,13,2,23,8,9,4,0,0,8,5,0,0,32,12,9,19,7,33,40,1,0,6,20.0,20.0,1200,0,0,0,0,28,0,0,0,0,0,0,0,부산 KCC,11,1,17,2,19,0,25,16,9,5,0,0,3,3,4,2,34,21,9,19,6,50,37,3,0,4,20.0,20.0,1200,0,0,8,0,67,0,0,0,0,0,0,0,울산 현대모비스
S45G01N12,2024-2025,20241025,away,Q3,13,0,15,6,21,4,34,13,14,7,0,0,14,11,2,2,48,20,12,25,13,58,62,3,0,8,30.0,30.0,1800,1,0,2,0,60,0,0,0,0,0,0,0,부산 KCC,20,2,22,5,27,0,35,21,17,9,1,1,6,4,4,2,53,31,14,29,12,75,59,5,0,6,30.0,30.0,1800,0,0,8,0,99,0,0,0,0,0,0,0,울산 현대모비스
S45G01N12,2024-2025,20241025,away,Q4,18,0,18,6,24,4,47,19,18,9,0,0,14,11,6,4,65,28,17,36,17,76,79,9,2,13,40.0,40.0,2400,1,0,8,0,76,0,0,0,0,0,0,0,부산 KCC,26,3,30,9,39,0,48,30,20,9,1,1,10,7,6,4,69,40,17,35,19,96,79,7,0,13,40.0,40.0,2400,0,0,12,0,126,0,0,0,0,0,0,0,울산 현대모비스
S45G01N13,2024-2025,20241025,home,Q1,4,1,8,5,13,2,15,7,6,3,0,0,4,3,2,1,21,10,4,8,5,26,25,3,0,3,10.0,10.0,600,0,0,4,0,34,0,0,0,0,0,0,0,수원 KT,7,0,5,4,9,1,12,7,8,1,1,0,4,3,2,0,21,8,5,10,5,20,25,3,0,3,10.0,10.0,600,0,0,2,0,23,0,0,0,0,0,0,0,서울 SK
S45G01N13,2024-2025,20241025,home,Q2,12,1,15,8,23,2,24,11,13,6,0,0,9,6,2,1,37,17,9,18,12,46,46,3,0,6,20.0,20.0,1200,0,0,4,0,58,0,0,0,0,0,0,0,수원 KT,12,0,11,7,18,3,26,14,16,3,1,0,8,6,7,1,43,17,9,18,11,43,51,5,0,3,20.0,20.0,1200,0,0,6,0,50,0,0,0,0,0,0,0,서울 SK
S45G01N13,2024-2025,20241025,home,Q3,19,1,24,12,36,2,38,16,19,9,0,0,12,9,2,1,57,25,14,28,21,68,69,4,0,8,30.0,30.0,1800,0,0,4,0,87,0,0,0,0,0,0,0,수원 KT,19,2,19,7,26,4,40,22,19,3,1,0,15,11,9,3,60,25,13,26,14,64,75,6,0,4,30.0,30.0,1800,0,0,8,0,78,0,0,0,0,0,0,0,서울 SK
S45G01N13,2024-2025,20241025,home,Q4,21,1,36,15,51,4,51,20,22,9,0,0,14,10,2,1,73,29,18,36,30,77,87,4,0,13,40.0,40.0,2400,0,0,4,0,97,0,0,0,0,0,0,0,수원 KT,20,4,27,8,35,4,52,26,24,3,1,0,19,14,10,3,77,29,18,36,19,75,96,10,0,4,40.0,40.0,2400,0,0,8,0,91,0,0,0,0,0,0,0,서울 SK
