경기ID,쿼터,2PA_Away,2PA_Home,2PM_Away,2PM_Home,3PA_Away,3PA_Home,3PM_Away,3PM_Home,AST_Away,AST_Home,BLK_Away,BLK_Home,DK_Away,DK_Home,DREB_Away,DREB_Home,FGA_Away,FGA_Home,FGM_Away,FGM_Home,FTA_Away,FTA_Home,FTM_Away,FTM_Home,GD_Away,GD_Home,OREB_Away,OREB_Home,PF_Away,PF_Home,PTS_Away,PTS_Home,REB_Away,REB_Home,STL_Away,STL_Home,TO_Away,TO_Home,PTS_diff,2PM_diff,2PA_diff,3PM_diff,3PA_diff,FGM_diff,FGA_diff,FTM_diff,FTA_diff,OREB_diff,DREB_diff,REB_diff,AST_diff,STL_diff,BLK_diff,GD_diff,DK_diff,TO_diff,PF_diff,Home_Win
S39G01N1,1.0,7.0,12.0,5.0,4.0,7.0,8.0,4.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,9.0,4.0,14.0,20.0,9.0,8.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0,23.0,21.0,11.0,7.0,0.0,2.0,4.0,0.0,-2.0,-1.0,5.0,0.0,1.0,-1.0,6.0,0.0,0.0,1.0,-5.0,-4.0,-1.0,2.0,0.0,0.0,0.0,-4.0,2.0,1
S39G01N1,2.0,14.0,24.0,8.0,11.0,17.0,16.0,7.0,8.0,8.0,8.0,1.0,1.0,0.0,1.0,12.0,13.0,31.0,40.0,15.0,19.0,5.0,4.0,3.0,3.0,0.0,0.0,5.0,7.0,5.0,9.0,40.0,49.0,17.0,20.0,0.0,3.0,6.0,1.0,9.0,3.0,10.0,1.0,-1.0,4.0,9.0,0.0,-1.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,-5.0,4.0,1
S39G01N1,3.0,28.0,33.0,15.0,16.0,24.0,25.0,7.0,11.0,12.0,10.0,1.0,4.0,0.0,1.0,19.0,23.0,52.0,58.0,22.0,27.0,6.0,4.0,4.0,3.0,1.0,1.0,9.0,10.0,9.0,13.0,55.0,68.0,28.0,33.0,1.0,3.0,7.0,5.0,13.0,1.0,5.0,4.0,1.0,5.0,6.0,-1.0,-2.0,1.0,4.0,5.0,-2.0,2.0,3.0,0.0,1.0,-2.0,4.0,1
S39G01N1,4.0,37.0,41.0,19.0,20.0,33.0,33.0,10.0,14.0,16.0,13.0,1.0,4.0,0.0,1.0,25.0,26.0,70.0,74.0,29.0,34.0,12.0,4.0,8.0,3.0,1.0,1.0,17.0,12.0,12.0,16.0,76.0,85.0,42.0,38.0,2.0,6.0,10.0,6.0,9.0,1.0,4.0,4.0,0.0,5.0,4.0,-5.0,-8.0,-5.0,1.0,-4.0,-3.0,4.0,3.0,0.0,1.0,-4.0,4.0,1
S39G01N10,1.0,8.0,16.0,6.0,7.0,4.0,7.0,2.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,8.0,2.0,12.0,23.0,8.0,9.0,5.0,9.0,5.0,7.0,0.0,1.0,0.0,5.0,8.0,7.0,23.0,27.0,8.0,7.0,1.0,7.0,8.0,1.0,4.0,1.0,8.0,0.0,3.0,1.0,11.0,2.0,4.0,5.0,-6.0,-1.0,0.0,6.0,-1.0,1.0,0.0,-7.0,-1.0,0
S39G01N10,2.0,14.0,26.0,10.0,11.0,13.0,15.0,6.0,6.0,9.0,12.0,3.0,0.0,1.0,0.0,14.0,7.0,27.0,41.0,16.0,17.0,7.0,11.0,6.0,9.0,0.0,1.0,1.0,6.0,13.0,11.0,44.0,49.0,15.0,13.0,3.0,8.0,9.0,4.0,5.0,1.0,12.0,0.0,2.0,1.0,14.0,3.0,4.0,5.0,-7.0,-2.0,3.0,5.0,-3.0,1.0,-1.0,-5.0,-2.0,0
S39G01N10,3.0,27.0,39.0,17.0,15.0,20.0,16.0,10.0,6.0,16.0,15.0,3.0,0.0,2.0,1.0,19.0,12.0,47.0,55.0,27.0,21.0,12.0,15.0,9.0,13.0,0.0,1.0,6.0,10.0,18.0,17.0,73.0,61.0,25.0,22.0,7.0,9.0,10.0,9.0,-12.0,-2.0,12.0,-4.0,-4.0,-6.0,8.0,4.0,3.0,4.0,-7.0,-3.0,-1.0,2.0,-3.0,1.0,-1.0,-1.0,-1.0,0
S39G01N10,4.0,37.0,48.0,23.0,19.0,24.0,21.0,12.0,7.0,19.0,15.0,3.0,0.0,2.0,1.0,23.0,13.0,61.0,69.0,35.0,26.0,14.0,19.0,10.0,17.0,0.0,2.0,11.0,13.0,23.0,21.0,92.0,76.0,34.0,26.0,8.0,14.0,16.0,12.0,-16.0,-4.0,11.0,-5.0,-3.0,-9.0,8.0,7.0,5.0,2.0,-10.0,-8.0,-4.0,6.0,-3.0,2.0,-1.0,-4.0,-2.0,0
S39G01N100,1.0,11.0,9.0,4.0,5.0,7.0,13.0,3.0,7.0,3.0,8.0,2.0,0.0,0.0,0.0,3.0,6.0,18.0,22.0,7.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,5.0,3.0,4.0,17.0,32.0,8.0,11.0,1.0,1.0,4.0,1.0,15.0,1.0,-2.0,4.0,6.0,5.0,4.0,1.0,1.0,0.0,3.0,3.0,5.0,0.0,-2.0,1.0,0.0,-3.0,1.0,1
S39G01N100,2.0,28.0,16.0,10.0,10.0,12.0,19.0,5.0,9.0,7.0,12.0,2.0,2.0,0.0,0.0,9.0,10.0,40.0,35.0,15.0,19.0,3.0,3.0,3.0,2.0,0.0,1.0,12.0,6.0,8.0,8.0,38.0,49.0,21.0,16.0,3.0,1.0,5.0,3.0,11.0,0.0,-12.0,4.0,7.0,4.0,-5.0,-1.0,0.0,-6.0,1.0,-5.0,5.0,-2.0,0.0,1.0,0.0,-2.0,0.0,1
S39G01N100,3.0,39.0,26.0,18.0,17.0,15.0,26.0,5.0,13.0,13.0,17.0,3.0,2.0,1.0,1.0,15.0,13.0,54.0,52.0,23.0,30.0,5.0,9.0,5.0,7.0,0.0,1.0,14.0,7.0,14.0,12.0,56.0,80.0,29.0,20.0,4.0,4.0,10.0,4.0,24.0,-1.0,-13.0,8.0,11.0,7.0,-2.0,2.0,4.0,-7.0,-2.0,-9.0,4.0,0.0,-1.0,1.0,0.0,-6.0,-2.0,1
S39G01N100,4.0,51.0,38.0,27.0,22.0,17.0,34.0,6.0,17.0,18.0,24.0,3.0,3.0,1.0,1.0,20.0,15.0,68.0,72.0,33.0,39.0,8.0,10.0,8.0,8.0,1.0,1.0,16.0,12.0,18.0,17.0,80.0,103.0,36.0,27.0,4.0,8.0,15.0,7.0,23.0,-5.0,-13.0,11.0,17.0,6.0,4.0,0.0,2.0,-4.0,-5.0,-9.0,6.0,4.0,0.0,0.0,0.0,-8.0,-1.0,1
S39G01N101,1.0,9.0,12.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,14.0,17.0,9.0,7.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,5.0,25.0,19.0,9.0,4.0,1.0,3.0,5.0,2.0,-6.0,0.0,3.0,-2.0,0.0,-2.0,3.0,0.0,0.0,0.0,-5.0,-5.0,0.0,2.0,0.0,0.0,0.0,-3.0,1.0,1
S39G01N101,2.0,22.0,23.0,9.0,10.0,8.0,13.0,6.0,4.0,7.0,6.0,1.0,4.0,0.0,0.0,14.0,10.0,30.0,36.0,15.0,14.0,8.0,10.0,4.0,8.0,0.0,1.0,5.0,5.0,10.0,10.0,40.0,40.0,19.0,15.0,1.0,6.0,9.0,2.0,0.0,1.0,1.0,-2.0,5.0,-1.0,6.0,4.0,2.0,0.0,-4.0,-4.0,-1.0,5.0,3.0,1.0,0.0,-7.0,0.0,1
S39G01N101,3.0,33.0,42.0,15.0,19.0,12.0,14.0,7.0,4.0,13.0,10.0,2.0,4.0,0.0,1.0,22.0,15.0,45.0,56.0,22.0,23.0,12.0,13.0,7.0,10.0,1.0,2.0,7.0,9.0,14.0,16.0,58.0,60.0,29.0,24.0,3.0,8.0,13.0,5.0,2.0,4.0,9.0,-3.0,2.0,1.0,11.0,3.0,1.0,2.0,-7.0,-5.0,-3.0,5.0,2.0,1.0,1.0,-8.0,2.0,1
S39G01N101,4.0,46.0,56.0,20.0,29.0,17.0,17.0,9.0,5.0,20.0,19.0,2.0,5.0,1.0,2.0,28.0,20.0,63.0,73.0,29.0,34.0,16.0,20.0,10.0,15.0,1.0,2.0,12.0,10.0,19.0,20.0,77.0,88.0,40.0,30.0,3.0,12.0,17.0,5.0,11.0,9.0,10.0,-4.0,0.0,5.0,10.0,5.0,4.0,-2.0,-8.0,-10.0,-1.0,9.0,3.0,1.0,1.0,-12.0,1.0,1
S39G01N102,1.0,10.0,12.0,8.0,6.0,9.0,13.0,4.0,3.0,10.0,9.0,3.0,2.0,0.0,0.0,11.0,9.0,19.0,25.0,12.0,9.0,6.0,6.0,5.0,6.0,0.0,0.0,1.0,3.0,5.0,5.0,33.0,27.0,12.0,12.0,3.0,2.0,2.0,3.0,-6.0,-2.0,2.0,-1.0,4.0,-3.0,6.0,1.0,0.0,2.0,-2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,1
S39G01N102,2.0,22.0,23.0,13.0,10.0,16.0,20.0,6.0,6.0,14.0,13.0,3.0,3.0,1.0,1.0,16.0,17.0,38.0,43.0,19.0,16.0,10.0,12.0,8.0,12.0,1.0,0.0,3.0,5.0,11.0,12.0,52.0,50.0,19.0,22.0,7.0,4.0,5.0,9.0,-2.0,-3.0,1.0,0.0,4.0,-3.0,5.0,4.0,2.0,2.0,1.0,3.0,-1.0,-3.0,0.0,-1.0,0.0,4.0,1.0,1
S39G01N102,3.0,39.0,42.0,22.0,22.0,24.0,31.0,9.0,9.0,25.0,27.0,3.0,3.0,2.0,1.0,22.0,25.0,63.0,73.0,31.0,31.0,16.0,19.0,12.0,15.0,1.0,0.0,5.0,11.0,19.0,18.0,83.0,86.0,27.0,36.0,9.0,6.0,7.0,13.0,3.0,0.0,3.0,0.0,7.0,0.0,10.0,3.0,3.0,6.0,3.0,9.0,2.0,-3.0,0.0,-1.0,-1.0,6.0,-1.0,1
S39G01N102,4.0,49.0,56.0,29.0,32.0,40.0,46.0,15.0,14.0,34.0,39.0,3.0,3.0,2.0,2.0,35.0,35.0,89.0,102.0,44.0,46.0,18.0,21.0,14.0,16.0,1.0,0.0,6.0,14.0,27.0,24.0,117.0,122.0,41.0,49.0,10.0,10.0,15.0,21.0,5.0,3.0,7.0,-1.0,6.0,2.0,13.0,2.0,3.0,8.0,0.0,8.0,5.0,0.0,0.0,-1.0,0.0,6.0,-3.0,1
