시즌,경기ID,누적쿼터,팀명,구분,선수명,최종승리팀(1=홈승),PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,박형철,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,함준후,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,오세근,1,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,1,2,1,1,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,문성곤,1,3,0,1,0.0,1,2,50.0,1,3,33.3,0,0,0.0,0,1,1,2,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,전성현,1,10,2,3,66.7,2,2,100.0,4,5,80.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,박재한,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,대릴 먼로,1,5,1,3,33.3,1,2,50.0,2,5,40.0,0,0,0.0,0,1,1,1,1,0,0,0,0,1
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,우동현,1,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,변준형,1,3,1,2,50.0,0,1,0.0,1,3,33.3,1,2,50.0,1,1,2,1,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,한승희,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,양승면,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,안양 KGC,Home,오마리 스펠맨,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,송창용,1,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,이정현,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,정창영,1,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,라건아,1,10,3,3,100.0,1,2,50.0,4,5,80.0,1,2,50.0,2,4,6,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,김지완,1,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,1,2
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,김상규,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,유병훈,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,전준범,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,송교창,1,5,1,3,33.3,1,2,50.0,2,5,40.0,0,0,0.0,0,2,2,0,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,이진욱,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,유현준,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N1,Q1,전주 KCC,Away,라타비우스 윌리엄스,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,박형철,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,함준후,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,오세근,1,4,2,6,33.3,0,0,0.0,2,6,33.3,0,0,0.0,3,4,7,2,1,0,0,0,1,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,문성곤,1,5,1,2,50.0,1,3,33.3,2,5,40.0,0,0,0.0,2,2,4,2,0,0,0,0,0,1
