gameKey,seasonName,date,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S39G01N1,2021-2022,20211009,안양 KGC,13,4,26,12,38,1,40,19,33,14,1,1,4,3,2,0,74,34,16,16,21,85,78,6,0,6,40.0,40.0,2400,0,0,11,0,100,전주 KCC,16,1,25,17,42,2,37,19,33,10,0,0,12,8,5,6,70,29,12,12,18,76,82,2,1,10,40.0,40.0,2400,0,0,8,0,83
S39G01N2,2021-2022,20211009,고양 오리온,23,5,19,8,27,2,49,25,17,6,2,2,19,15,3,0,68,33,13,15,24,87,87,6,0,9,40.0,40.0,2400,0,0,4,0,102,서울 SK,23,1,26,15,41,3,59,34,18,8,1,1,13,11,8,2,78,43,18,20,33,105,91,6,0,7,40.0,40.0,2400,0,0,7,0,135
S39G01N3,2021-2022,20211009,울산 현대모비스,18,7,23,8,31,6,46,24,21,8,1,1,14,9,2,2,68,33,19,22,26,83,82,3,1,12,40.0,40.0,2400,0,0,4,0,95,대구 한국가스공사,20,3,21,5,26,6,45,27,20,7,2,2,19,15,6,2,67,36,19,21,42,94,86,8,1,5,40.0,40.0,2400,0,0,12,0,116
S39G01N4,2021-2022,20211010,수원 KT,14,4,26,10,36,8,45,14,25,7,2,1,23,16,4,2,72,22,12,12,21,67,95,10,0,10,40.0,40.0,2400,0,0,6,0,72,원주 DB,19,10,32,10,42,7,45,20,23,9,1,1,7,4,6,2,69,30,17,18,23,73,76,5,0,14,40.0,40.0,2400,0,0,11,0,100
S39G01N5,2021-2022,20211010,서울 삼성,24,6,22,7,29,7,43,25,20,10,4,3,19,14,4,2,67,38,19,24,24,100,86,4,0,16,40.0,40.0,2400,1,0,10,0,120,창원 LG,15,1,22,12,34,2,43,20,27,9,1,1,28,23,5,2,71,30,20,22,21,92,99,9,2,11,40.0,40.0,2400,0,0,14,0,94
S39G01N6,2021-2022,20211010,전주 KCC,19,3,22,11,33,2,46,24,18,6,1,1,15,10,8,2,65,31,18,18,22,78,80,5,0,12,40.0,40.0,2400,0,0,8,0,89,고양 오리온,21,2,24,11,35,5,48,28,24,7,1,1,7,6,4,4,73,36,16,16,21,85,80,9,0,8,40.0,40.0,2400,0,0,13,0,111
S39G01N7,2021-2022,20211010,대구 한국가스공사,20,1,32,11,43,5,41,21,32,12,0,0,11,10,3,4,73,33,18,21,27,88,84,4,0,15,40.0,40.0,2400,0,0,7,0,105,안양 KGC,16,6,25,5,30,2,31,15,33,11,2,1,15,8,3,0,66,27,15,15,24,73,81,10,1,9,40.0,40.0,2400,0,0,6,0,81
S39G01N8,2021-2022,20211011,원주 DB,18,2,26,10,36,5,51,30,15,3,2,2,12,8,6,4,68,35,17,20,24,81,80,10,1,13,40.0,40.0,2400,0,0,14,0,101,울산 현대모비스,19,2,23,9,32,3,41,17,20,8,1,1,13,9,4,0,62,26,14,16,31,69,75,9,2,17,40.0,40.0,2400,0,0,12,0,75
S39G01N9,2021-2022,20211011,서울 SK,19,3,29,14,43,5,46,22,26,8,0,0,24,19,8,4,72,30,19,19,33,87,96,8,0,12,40.0,40.0,2400,0,0,11,0,106,서울 삼성,17,2,29,6,35,4,40,20,28,7,1,1,14,10,5,2,69,28,18,20,25,73,83,8,2,12,40.0,40.0,2400,0,0,11,0,80
S39G01N10,2021-2022,20211011,창원 LG,15,0,13,13,26,7,47,18,21,7,1,1,19,17,3,2,69,26,18,21,17,76,88,14,1,12,40.0,40.0,2400,0,0,6,0,80,수원 KT,19,3,23,11,34,3,35,21,24,12,2,2,14,10,4,2,61,35,20,23,18,92,75,8,3,16,40.0,40.0,2400,0,0,12,0,110
