gameKey,seasonName,date,TEAM,AST,BLK,DREB,2PA,2PM,3PA,3PM,DKA,DKM,FTA,FTM,SWA,SWM,FGA,FGM,TPF,PF,SUB,OREB,PP,PA,PRB,STL,TTO,TRB,PTO,MIN,MIN_M,MIN_S,UF,TF,TOM,EJ,TER,PPT
S45G01N1,2024-2025,20241019,부산 KCC,10,4,27,45,24,29,8,0,0,5,5,2,2,74,32,14,14,14,6,77,79,33,6,0,4,7,40.0,40.0,2400,0,0,6,0,0,0
S45G01N1,2024-2025,20241019,수원 KT,16,3,32,57,22,27,8,0,0,5,4,4,4,84,30,16,17,29,20,72,89,52,3,2,6,12,40.0,40.0,2400,0,0,6,0,0,0
S45G01N2,2024-2025,20241019,원주 DB,19,5,21,40,24,23,6,1,1,26,20,3,4,64,31,17,21,25,8,88,90,29,8,0,5,14,40.0,40.0,2400,0,0,16,0,0,0
S45G01N2,2024-2025,20241019,서울 삼성,20,1,23,46,23,22,6,3,3,18,13,2,0,71,32,19,25,28,15,83,89,38,7,1,2,16,40.0,40.0,2400,0,0,6,0,0,0
S45G01N3,2024-2025,20241019,창원 LG,18,3,23,41,19,28,5,0,0,27,17,5,4,69,24,19,21,26,13,70,96,36,7,0,11,12,40.0,40.0,2400,0,0,6,0,0,0
S45G01N3,2024-2025,20241019,대구 한국가스공사,11,6,28,36,17,25,6,0,0,16,15,3,4,61,23,20,22,31,7,67,77,35,6,1,6,13,40.0,40.0,2400,0,0,5,0,0,0
S45G01N4,2024-2025,20241020,수원 KT,16,3,29,42,22,23,7,0,0,11,7,5,4,65,29,17,17,22,5,72,76,34,12,1,7,16,40.0,40.0,2400,1,0,14,0,0,0
S45G01N4,2024-2025,20241020,서울 삼성,20,4,26,46,21,27,3,0,0,17,12,5,2,73,24,18,18,33,14,63,90,40,11,1,5,15,40.0,40.0,2400,0,0,14,0,0,0
S45G01N5,2024-2025,20241020,서울 SK,26,4,29,52,32,23,5,2,2,22,12,19,17,77,39,13,13,25,14,95,99,43,11,2,3,8,40.0,40.0,2400,0,0,17,0,0,0
S45G01N5,2024-2025,20241020,안양 정관장,19,3,24,36,15,32,9,4,3,12,8,2,0,72,27,17,16,24,15,71,84,39,7,0,2,18,40.0,40.0,2400,0,1,6,0,0,0
